Time,Last,Change,%Chg,Week
06/16/25,71.83,7.24,11.2,24
06/06/25,64.59,3.83,6.3,23
05/30/25,60.76,-0.78,-1.3,22
05/23/25,61.54,-0.94,-1.5,21
05/16/25,62.48,1.46,2.4,20
05/09/25,61.02,2.7,4.6,19
05/02/25,58.32,-4.72,-7.5,18
04/25/25,63.04,-1.62,-2.5,17
04/18/25,64.66,3.15,5.1,16
04/11/25,61.51,-0.51,-0.8,15
04/04/25,62.02,-7.32,-10.6,14
03/28/25,69.34,1.07,1.6,13
03/21/25,68.27,1.1,1.6,12
03/14/25,67.17,0.13,0.2,11
03/07/25,67.04,-2.69,-3.9,10
02/28/25,69.73,-0.65,-0.9,9
02/21/25,70.38,-0.32,-0.5,8
02/14/25,70.7,-0.28,-0.4,7
02/07/25,70.98,-1.51,-2.1,6
01/31/25,72.49,-2.14,-2.9,5
01/24/25,74.63,-3.22,-4.1,4
01/17/25,77.85,1.28,1.7,3
01/10/25,76.57,2.63,3.6,2
01/03/25,73.94,3.35,4.7,1
12/27/24,70.59,1.13,1.6,52
12/20/24,69.46,-1.83,-2.6,51
12/13/24,71.29,4.09,6.1,50
12/06/24,67.2,-0.82,-1.2,49
11/29/24,68.02,-3.21,-4.5,48
11/22/24,71.23,4.2,6.3,47
11/15/24,67.03,-3.36,-4.8,46
11/08/24,70.39,0.87,1.3,45
11/01/24,69.52,-2.25,-3.1,44
10/25/24,71.77,2.61,3.8,43
10/18/24,69.16,-6.35,-8.4,42
10/11/24,75.51,1.18,1.6,41
10/04/24,74.33,6.2,9.1,40
09/27/24,68.13,-2.89,-4.1,39
09/20/24,71.02,2.37,3.5,38
09/13/24,68.65,1.02,1.5,37
09/06/24,67.63,-5.94,-8.1,36
08/30/24,73.57,-1.24,-1.7,35
08/23/24,74.81,-1.8,-2.3,34
08/16/24,76.61,-0.22,-0.3,33
08/09/24,76.83,3.28,4.5,32
08/02/24,73.55,-3.58,-4.6,31
07/26/24,77.13,-3.0,-3.7,30
07/19/24,80.13,-2.06,-2.5,29
07/12/24,82.19,-0.96,-1.2,28
07/05/24,83.15,1.63,2.0,27
06/28/24,81.52,0.81,1.0,26
06/21/24,80.71,2.3,2.9,25
06/14/24,78.41,2.88,3.8,24
06/07/24,75.53,-1.45,-1.9,23
05/31/24,76.98,-0.7,-0.9,22
05/24/24,77.68,-2.38,-3.0,21
05/17/24,80.06,1.85,2.4,20
05/10/24,78.21,0.15,0.2,19
05/03/24,78.06,-5.72,-6.8,18
04/26/24,83.78,0.78,0.9,17
04/19/24,83.0,-2.64,-3.1,16
04/12/24,85.64,-1.23,-1.4,15
04/05/24,86.87,3.72,4.5,14
03/28/24,83.15,2.5,3.1,13
03/22/24,80.65,-0.34,-0.4,12
03/15/24,80.99,2.97,3.8,11
03/08/24,78.02,-1.93,-2.4,10
03/01/24,79.95,3.45,4.5,9
02/23/24,76.5,-2.7,-3.4,8
02/16/24,79.2,2.38,3.1,7
02/09/24,76.82,4.55,6.3,6
02/02/24,72.27,-5.74,-7.4,5
01/26/24,78.01,4.57,6.2,4
01/19/24,73.44,0.76,1.0,3
01/12/24,72.68,-1.08,-1.5,2
01/05/24,73.76,2.12,3.0,1
12/29/23,71.64,-1.94,-2.6,51
12/22/23,73.58,2.18,3.1,50
12/15/23,71.4,0.26,0.4,49
12/08/23,71.14,-2.9,-3.9,48
12/01/23,74.04,-1.14,-1.5,47
11/24/23,75.18,-0.7,-0.9,46
11/17/23,75.88,-1.32,-1.7,45
11/10/23,77.2,-3.38,-4.2,44
11/03/23,80.58,-4.87,-5.7,43
10/27/23,85.45,-2.63,-3.0,42
10/20/23,88.08,0.39,0.4,41
10/13/23,87.69,4.9,5.9,40
10/06/23,82.79,-8.0,-8.8,39
09/29/23,90.79,0.76,0.8,38
09/22/23,90.03,-0.74,-0.8,37
09/15/23,90.77,3.26,3.7,36
09/08/23,87.51,1.96,2.3,35
09/01/23,85.55,5.72,7.2,34
08/25/23,79.83,-1.42,-1.7,33
08/18/23,81.25,-1.94,-2.3,32
08/11/23,83.19,0.37,0.4,31
08/04/23,82.82,2.24,2.8,30
07/28/23,80.58,3.51,4.6,29
07/21/23,77.07,1.65,2.2,28
07/14/23,75.42,1.56,2.1,27
07/07/23,73.86,3.22,4.6,26
06/30/23,70.64,1.48,2.1,25
06/23/23,69.16,-2.62,-3.7,24
06/16/23,71.78,1.61,2.3,23
06/09/23,70.17,-1.57,-2.2,22
06/02/23,71.74,-0.93,-1.3,21
05/26/23,72.67,1.12,1.6,20
05/19/23,71.55,1.51,2.2,19
05/12/23,70.04,-1.3,-1.8,18
05/05/23,71.34,-5.44,-7.1,17
04/28/23,76.78,-1.09,-1.4,16
04/21/23,77.87,-4.65,-5.6,15
04/14/23,82.52,1.82,2.3,14
04/06/23,80.7,5.03,6.6,13
03/31/23,75.67,6.41,9.3,12
03/24/23,69.26,2.52,3.8,11
03/17/23,66.74,-9.94,-13.0,10
03/10/23,76.68,-3.0,-3.8,9
03/03/23,79.68,3.36,4.4,8
02/24/23,76.32,-0.02,0.0,7
02/17/23,76.34,-3.38,-4.2,6
02/10/23,79.72,6.33,8.6,5
02/03/23,73.39,-6.29,-7.9,4
01/27/23,79.68,0.0,0.0,3
