Time,Last,Change,%Chg,Week
06/16/25,3.754,-0.03,-0.8,24
06/06/25,3.784,0.34,9.9,23
05/30/25,3.449,0.11,3.3,22
05/23/25,3.335,0.0,0.0,21
05/16/25,3.335,-0.46,-12.1,20
05/09/25,3.796,0.17,4.7,19
05/02/25,3.631,0.7,23.9,18
04/25/25,2.931,-0.31,-9.6,17
04/18/25,3.244,-0.29,-8.2,16
04/11/25,3.529,-0.31,-8.1,15
04/04/25,3.834,-0.22,-5.4,14
03/28/25,4.057,0.08,2.0,13
03/21/25,3.979,-0.12,-2.9,12
03/14/25,4.098,-0.3,-6.8,11
03/07/25,4.398,0.56,14.7,10
02/28/25,3.835,-0.4,-9.4,9
02/21/25,4.232,0.51,13.7,8
02/14/25,3.722,0.41,12.5,7
02/07/25,3.309,0.27,8.8,6
01/31/25,3.042,-0.99,-24.5,5
01/24/25,4.029,0.08,2.1,4
01/17/25,3.945,-0.05,-1.2,3
01/10/25,3.991,0.63,18.9,2
01/03/25,3.357,-0.03,-0.8,1
12/27/24,3.383,-0.37,-9.8,52
12/20/24,3.752,0.47,14.3,51
12/13/24,3.282,0.21,6.7,50
12/06/24,3.077,-0.29,-8.6,49
11/29/24,3.366,0.23,7.4,48
11/22/24,3.134,0.32,11.3,47
11/15/24,2.817,0.15,5.6,46
11/08/24,2.668,0.01,0.3,45
11/01/24,2.66,0.1,4.0,44
10/25/24,2.558,0.3,13.1,43
10/18/24,2.261,-0.37,-14.0,42
10/11/24,2.628,-0.23,-7.9,41
10/04/24,2.853,-0.05,-1.7,40
09/27/24,2.902,0.47,19.1,39
09/20/24,2.437,0.14,5.9,38
09/13/24,2.302,0.03,1.1,37
09/06/24,2.276,0.15,7.1,36
08/30/24,2.125,0.1,5.1,35
08/23/24,2.022,-0.1,-4.7,34
08/16/24,2.122,-0.02,-1.1,33
08/09/24,2.146,0.18,8.9,32
08/02/24,1.97,-0.03,-1.7,31
07/26/24,2.004,-0.12,-5.7,30
07/19/24,2.125,-0.2,-8.7,29
07/12/24,2.327,0.01,0.3,28
07/05/24,2.319,-0.28,-10.8,27
06/28/24,2.6,-0.1,-3.8,26
06/21/24,2.704,-0.17,-6.0,25
06/14/24,2.878,-0.03,-1.2,24
06/07/24,2.912,0.32,12.3,23
05/31/24,2.592,0.08,3.0,22
05/24/24,2.517,-0.11,-4.3,21
05/17/24,2.63,0.38,16.7,20
05/10/24,2.254,0.11,4.9,19
05/03/24,2.149,0.23,11.8,18
04/26/24,1.923,0.17,9.6,17
04/19/24,1.755,-0.02,-1.0,16
04/12/24,1.772,-0.01,-0.8,15
04/05/24,1.786,0.03,1.5,14
03/28/24,1.76,0.1,6.2,13
03/22/24,1.657,0.0,0.1,12
03/15/24,1.656,-0.15,-8.4,11
03/08/24,1.808,-0.03,-1.5,10
03/01/24,1.836,0.24,14.7,9
02/23/24,1.601,-0.01,-0.6,8
02/16/24,1.61,-0.23,-12.7,7
02/09/24,1.844,-0.23,-11.2,6
02/02/24,2.077,-0.64,-23.6,5
01/26/24,2.718,0.2,7.7,4
01/19/24,2.523,-0.8,-24.0,3
01/12/24,3.318,0.43,14.7,2
01/05/24,2.892,0.38,15.0,1
12/29/23,2.515,-0.09,-3.5,51
12/22/23,2.607,0.12,4.7,50
12/15/23,2.489,-0.09,-3.5,49
12/08/23,2.578,-0.24,-8.4,48
12/01/23,2.814,-0.05,-1.8,47
11/24/23,2.865,-0.1,-3.3,46
11/17/23,2.963,-0.07,-2.4,45
11/10/23,3.035,-0.48,-13.7,44
11/03/23,3.515,0.03,0.8,43
10/27/23,3.486,0.59,20.2,42
10/20/23,2.899,-0.34,-10.4,41
10/13/23,3.236,-0.1,-3.1,40
10/06/23,3.338,0.41,14.0,39
09/29/23,2.929,0.29,11.1,38
09/22/23,2.637,-0.01,-0.3,37
09/15/23,2.644,0.04,1.5,36
09/08/23,2.605,-0.16,-5.8,35
09/01/23,2.765,0.23,8.9,34
08/25/23,2.54,-0.01,-0.4,33
08/18/23,2.551,-0.22,-7.9,32
08/11/23,2.77,0.19,7.5,31
08/04/23,2.577,-0.06,-2.3,30
07/28/23,2.638,-0.08,-2.8,29
07/21/23,2.713,0.17,6.9,28
07/14/23,2.539,-0.04,-1.7,27
07/07/23,2.582,-0.22,-7.7,26
06/30/23,2.798,0.07,2.5,25
06/23/23,2.729,0.1,3.7,24
06/16/23,2.632,0.38,16.8,23
06/09/23,2.254,0.08,3.8,22
06/02/23,2.172,-0.01,-0.4,21
05/26/23,2.181,-0.4,-15.6,20
05/19/23,2.585,0.32,14.1,19
05/12/23,2.266,0.13,6.0,18
05/05/23,2.137,-0.27,-11.3,17
04/28/23,2.41,0.18,7.9,16
04/21/23,2.233,0.12,5.6,15
04/14/23,2.114,0.1,5.1,14
04/06/23,2.011,-0.21,-9.3,13
03/31/23,2.216,0.0,0.0,12
03/24/23,2.216,-0.12,-5.2,11
03/17/23,2.338,-0.09,-3.8,10
03/10/23,2.43,-0.58,-19.2,9
03/03/23,3.009,0.56,22.8,8
02/24/23,2.451,0.18,7.7,7
02/17/23,2.275,-0.24,-9.5,6
02/10/23,2.514,0.1,4.3,5
02/03/23,2.41,-0.7,-22.5,4
01/27/23,3.109,0.0,0.0,3
