Time,Last,Change,%Chg,Week
03/24/25,3.115,0.057,1.9,12
03/17/25,3.058,-0.011,-0.4,11
03/10/25,3.069,-0.009,-0.3,10
03/03/25,3.078,-0.047,-1.5,9
02/24/25,3.125,-0.023,-0.7,8
02/17/25,3.148,0.02,0.6,7
02/10/25,3.128,0.046,1.5,6
02/03/25,3.082,-0.021,-0.7,5
01/27/25,3.103,-0.006,-0.2,4
01/20/25,3.109,0.066,2.2,3
01/13/25,3.043,-0.004,-0.1,2
01/06/25,3.047,0.041,1.4,1
12/30/24,3.006,-0.018,-0.6,52
12/23/24,3.024,0.008,0.3,51
12/16/24,3.016,0.008,0.3,50
12/09/24,3.008,-0.026,-0.9,49
12/02/24,3.034,-0.01,-0.3,48
11/25/24,3.044,-0.002,-0.1,47
11/18/24,3.046,-0.006,-0.2,46
11/11/24,3.052,-0.017,-0.6,45
11/04/24,3.069,-0.028,-0.9,44
10/28/24,3.097,-0.047,-1.5,43
10/21/24,3.144,-0.027,-0.9,42
10/14/24,3.171,0.035,1.1,41
10/07/24,3.136,-0.043,-1.4,40
09/30/24,3.179,-0.006,-0.2,39
09/23/24,3.185,0.005,0.2,38
09/16/24,3.18,-0.056,-1.7,37
09/09/24,3.236,-0.053,-1.6,36
09/02/24,3.289,-0.024,-0.7,35
08/26/24,3.313,-0.069,-2,34
08/19/24,3.382,-0.032,-0.9,33
08/12/24,3.414,-0.034,-1,32
08/05/24,3.448,-0.036,-1,31
07/29/24,3.484,0.013,0.4,30
07/22/24,3.471,-0.025,-0.7,29
07/15/24,3.496,0.007,0.2,28
07/08/24,3.489,0.01,0.3,27
07/01/24,3.479,0.041,1.2,26
06/24/24,3.438,0.003,0.1,25
06/17/24,3.435,0.006,0.2,24
06/10/24,3.429,-0.087,-2.5,23
06/03/24,3.516,-0.061,-1.7,22
05/27/24,3.577,-0.007,-0.2,21
05/20/24,3.584,-0.024,-0.7,20
05/13/24,3.608,-0.035,-1,19
05/06/24,3.643,-0.01,-0.3,18
04/29/24,3.653,-0.015,-0.4,17
04/22/24,3.668,0.04,1.1,16
04/15/24,3.628,0.037,1,15
04/08/24,3.591,0.074,2.1,14
04/01/24,3.517,-0.006,-0.2,13
03/25/24,3.523,0.07,2,12
03/18/24,3.453,0.077,2.3,11
03/11/24,3.376,0.026,0.8,10
03/04/24,3.35,0.101,3.1,9
02/26/24,3.249,-0.02,-0.6,8
02/19/24,3.269,0.077,2.4,7
02/12/24,3.192,0.056,1.8,6
02/05/24,3.136,0.041,1.3,5
01/29/24,3.095,0.033,1.1,4
01/22/24,3.062,0.004,0.1,3
01/15/24,3.058,-0.015,-0.5,2
01/08/24,3.073,-0.016,-0.5,1
01/01/24,3.089,-0.027,-0.9,0
12/25/23,3.116,0.063,2.1,52
12/18/23,3.053,-0.083,-2.6,51
12/11/23,3.136,-0.095,-2.9,50
12/04/23,3.231,-0.007,-0.2,49
11/27/23,3.238,-0.051,-1.6,48
11/20/23,3.289,-0.06,-1.8,47
11/13/23,3.349,-0.047,-1.4,46
11/06/23,3.396,-0.077,-2.2,45
10/30/23,3.473,-0.06,-1.7,44
10/23/23,3.533,-0.043,-1.2,43
10/16/23,3.576,-0.108,-2.9,42
10/09/23,3.684,-0.114,-3,41
10/02/23,3.798,-0.039,-1,40
09/25/23,3.837,-0.041,-1.1,39
09/18/23,3.878,0.056,1.5,38
09/11/23,3.822,0.015,0.4,37
09/04/23,3.807,-0.006,-0.2,36
08/28/23,3.813,-0.055,-1.4,35
08/21/23,3.868,0.018,0.5,34
08/14/23,3.85,0.022,0.6,33
08/07/23,3.828,0.071,1.9,32
07/31/23,3.757,0.161,4.5,31
07/24/23,3.596,0.037,1,30
07/17/23,3.559,0.013,0.4,29
07/10/23,3.546,0.019,0.5,28
07/03/23,3.527,-0.044,-1.2,27
06/26/23,3.571,-0.006,-0.2,26
06/19/23,3.577,-0.018,-0.5,25
06/12/23,3.595,0.054,1.5,24
06/05/23,3.541,-0.03,-0.8,23
05/29/23,3.571,0.037,1,22
05/22/23,3.534,-0.002,-0.1,21
05/15/23,3.536,0.003,0.1,20
05/08/23,3.533,-0.067,-1.9,19
05/01/23,3.6,-0.056,-1.5,18
04/24/23,3.656,-0.007,-0.2,17
04/17/23,3.663,0.067,1.9,16
04/10/23,3.596,0.099,2.8,15
04/03/23,3.497,0.076,2.2,14
03/27/23,3.421,-0.001,0,13
03/20/23,3.422,-0.034,-1,12
03/13/23,3.456,0.067,2,11
03/06/23,3.389,0.047,1.4,10
02/27/23,3.342,-0.037,-1.1,9
