Time,Last,Change,%Chg,Week
03/28/25,66.71,0.71,1.1,13
03/21/25,66,1.24,1.9,12
03/14/25,64.76,-0.57,-0.9,11
03/07/25,65.33,-3.32,-4.8,10
02/28/25,68.65,-2.09,-3.0,9
02/21/25,70.74,-2.4,-3.3,8
02/14/25,73.14,1.21,1.7,7
02/07/25,71.93,-0.63,-0.9,6
01/31/25,72.56,-3.23,-4.3,5
01/24/25,75.79,-2.78,-3.5,4
01/17/25,78.57,4.94,6.7,3
01/10/25,73.63,-1.11,-1.5,2
01/03/25,74.74,4.2,6.0,1
12/27/24,70.54,1.66,2.4,52
12/20/24,68.88,-5.83,-7.8,51
12/13/24,74.71,-0.72,-1.0,50
12/06/24,75.43,-4.92,-6.1,49
11/29/24,80.35,-0.88,-1.1,48
11/22/24,81.23,4.7,6.1,47
11/15/24,76.53,-2.84,-3.6,46
11/08/24,79.37,5.64,7.6,45
11/01/24,73.73,-1.84,-2.4,44
10/25/24,75.57,-0.47,-0.6,43
10/18/24,76.04,-4.8,-5.9,42
10/11/24,80.84,-0.85,-1.0,41
10/04/24,81.69,5.42,7.1,40
09/27/24,76.27,-2.81,-3.6,39
09/20/24,79.08,5.36,7.3,38
09/13/24,73.72,-0.59,-0.8,37
09/06/24,74.31,-7.53,-9.2,36
08/30/24,81.84,-1.05,-1.3,35
08/23/24,82.89,-0.32,-0.4,34
08/16/24,83.21,1.11,1.4,33
08/09/24,82.1,-1.61,-1.9,32
08/02/24,83.71,-7.4,-8.1,31
07/26/24,91.11,1.46,1.6,30
07/19/24,89.65,2.44,2.8,29
07/12/24,87.21,3.13,3.7,28
07/05/24,84.08,-1.31,-1.5,27
06/28/24,85.39,3.26,4.0,26
06/21/24,82.13,2.74,3.5,25
06/14/24,79.39,-1.28,-1.6,24
06/07/24,80.67,-5.7,-6.6,23
05/31/24,86.37,1.74,2.1,22
05/24/24,84.63,-3.45,-3.9,21
05/17/24,88.08,1.44,1.7,20
05/10/24,86.64,1.28,1.5,19
05/03/24,85.36,-3.31,-3.7,18
04/26/24,88.67,0.93,1.1,17
04/19/24,87.74,-3.05,-3.4,16
04/12/24,90.79,-4.28,-4.5,15
04/05/24,95.07,3.93,4.3,14
03/28/24,91.14,1.5,1.7,13
03/22/24,89.64,2.15,2.5,12
03/15/24,87.49,4.09,4.9,11
03/08/24,83.4,1.28,1.6,10
03/01/24,82.12,1.46,1.8,9
02/23/24,80.66,-0.35,-0.4,8
02/16/24,81.01,2.16,2.7,7
02/09/24,78.85,0.85,1.1,6
