Time,Last,Change,%Chg,Week
06/13/25,693.0,20.0,3.0,24
06/06/25,673.0,-2.0,-0.3,23
05/30/25,675.0,-5.0,-0.7,22
05/23/25,680.0,-17.0,-2.4,21
05/16/25,697.0,5.0,0.7,20
05/09/25,692.0,-12.0,-1.7,19
05/02/25,704.0,-11.0,-1.5,18
04/25/25,715.0,-4.0,-0.6,17
04/17/25,719.0,-2.0,-0.3,16
04/11/25,721.0,-22.0,-3.0,15
04/04/25,743.0,-12.0,-1.6,14
03/28/25,755.0,-18.0,-2.3,13
03/21/25,773.0,-18.0,-2.3,12
03/14/25,791.0,35.0,4.2,11
03/07/25,826.0,-15.0,-1.8,10
02/28/25,841.0,5.0,0.6,9
02/21/25,836.0,3.0,0.4,8
02/14/25,833.0,-2.0,-0.2,7
02/07/25,835.0,-5.0,-0.6,6
01/31/25,840.0,19.0,2.3,5
01/24/25,821.0,12.0,1.5,4
01/17/25,809.0,9.0,1.1,3
01/10/25,800.0,117.0,17.1,2
01/03/25,683.0,-1.0,-0.1,1
12/27/24,684.0,-71.0,-9.4,52
12/20/24,755.0,-25.0,-3.2,51
12/13/24,780.0,-3.0,-0.4,50
12/06/24,783.0,-4.0,-0.5,49
11/27/24,787.0,3.0,0.4,48
11/22/24,784.0,0.0,0.0,47
11/15/24,784.0,-8.0,-1.0,46
11/08/24,792.0,-6.0,-0.8,45
11/01/24,798.0,-3.0,-0.4,44
10/25/24,801.0,-1.0,-0.1,43
10/18/24,802.0,-3.0,-0.4,42
10/11/24,805.0,-3.0,-0.4,41
10/04/24,808.0,3.0,0.4,40
09/27/24,805.0,6.0,0.8,39
09/20/24,799.0,-9.0,-1.1,38
09/13/24,808.0,6.0,0.7,37
09/06/24,802.0,-1.0,-0.1,36
08/30/24,803.0,-1.0,-0.1,35
08/23/24,804.0,1.0,0.1,34
08/16/24,803.0,-2.0,-0.2,33
08/09/24,805.0,0.0,0.0,32
08/02/24,805.0,5.0,0.6,31
07/26/24,800.0,17.0,2.2,30
07/19/24,783.0,10.0,1.3,29
07/12/24,773.0,13.0,1.7,28
07/05/24,760.0,3.0,0.4,27
06/28/24,757.0,3.0,0.4,26
06/21/24,754.0,4.0,0.5,25
06/14/24,750.0,13.0,1.8,24
06/07/24,737.0,9.0,1.2,23
05/31/24,728.0,8.0,1.1,22
05/24/24,720.0,2.0,0.3,21
05/17/24,718.0,-1.0,-0.1,20
05/10/24,719.0,-6.0,-0.8,19
05/03/24,725.0,-6.0,-0.8,18
04/26/24,731.0,-15.0,-2.0,17
04/19/24,746.0,-12.0,-1.6,16
04/12/24,758.0,2.0,0.3,15
04/05/24,756.0,-16.0,-2.1,14
03/28/24,772.0,-21.0,-2.6,13
03/22/24,793.0,-43.0,-5.1,12
03/15/24,836.0,-11.0,-1.3,11
03/08/24,847.0,-13.0,-1.5,10
03/01/24,860.0,3.0,0.4,9
02/23/24,857.0,2.0,0.2,8
02/16/24,855.0,0.0,0.0,7
02/09/24,855.0,4.0,0.5,6
02/02/24,851.0,0.0,0.0,5
01/26/24,851.0,8.0,0.9,4
01/19/24,843.0,11.0,1.3,3
01/12/24,832.0,86.0,11.5,2
01/05/24,746.0,38.0,5.4,1
12/29/23,708.0,-58.0,-7.6,52
12/21/23,766.0,-42.0,-5.2,51
12/15/23,808.0,-12.0,-1.5,50
12/08/23,820.0,3.0,0.4,49
12/01/23,817.0,-2.0,-0.2,48
11/22/23,819.0,5.0,0.6,47
11/17/23,814.0,-1.0,-0.1,46
11/10/23,815.0,1.0,0.1,45
11/03/23,814.0,-7.0,-0.9,44
10/27/23,821.0,-1.0,-0.1,43
10/20/23,822.0,7.0,0.9,42
10/13/23,815.0,16.0,2.0,41
10/06/23,799.0,-15.0,-1.8,40
09/29/23,814.0,-6.0,-0.7,39
09/22/23,820.0,-11.0,-1.3,38
09/15/23,831.0,17.0,2.1,37
09/08/23,814.0,-4.0,-0.5,36
09/01/23,818.0,-4.0,-0.5,35
08/25/23,822.0,-9.0,-1.1,34
08/18/23,831.0,-13.0,-1.5,33
08/11/23,844.0,-3.0,-0.4,32
08/04/23,847.0,-10.0,-1.2,31
07/28/23,857.0,1.0,0.1,30
07/21/23,856.0,-6.0,-0.7,29
07/14/23,862.0,7.0,0.8,28
07/07/23,855.0,14.0,1.7,27
