Time,Last,Change,%Chg,Week
06/13/25,555.0,-4.0,-0.7,1
06/06/25,559.0,-4.0,-0.7,
05/30/25,563.0,-3.0,-0.5,
05/23/25,566.0,-10.0,-1.7,
05/16/25,576.0,-2.0,-0.3,
05/09/25,578.0,-6.0,-1.0,
05/02/25,584.0,-3.0,-0.5,
04/25/25,587.0,2.0,0.3,
04/17/25,585.0,2.0,0.3,
04/11/25,583.0,-7.0,-1.2,
04/04/25,590.0,-2.0,-0.3,
03/28/25,592.0,-1.0,-0.2,
03/21/25,593.0,1.0,0.2,
03/14/25,592.0,0.0,0.0,
03/07/25,592.0,-1.0,-0.2,
02/28/25,593.0,1.0,0.2,
02/21/25,592.0,4.0,0.7,
02/14/25,588.0,2.0,0.3,
02/07/25,586.0,4.0,0.7,
01/31/25,582.0,6.0,1.0,
01/24/25,576.0,-4.0,-0.7,
01/17/25,580.0,-4.0,-0.7,
01/10/25,584.0,-5.0,-0.8,
01/03/25,589.0,0.0,0.0,
12/27/24,589.0,0.0,0.0,
12/20/24,589.0,0.0,0.0,
12/13/24,589.0,0.0,0.0,
12/06/24,589.0,7.0,1.2,
11/27/24,582.0,-1.0,-0.2,
11/22/24,583.0,-1.0,-0.2,
11/15/24,584.0,-1.0,-0.2,
11/08/24,585.0,0.0,0.0,
11/01/24,585.0,0.0,0.0,
10/25/24,585.0,0.0,0.0,
10/18/24,585.0,-1.0,-0.2,
10/11/24,586.0,1.0,0.2,
10/04/24,585.0,-2.0,-0.3,
09/27/24,587.0,-1.0,-0.2,
09/20/24,588.0,-2.0,-0.3,
09/13/24,590.0,8.0,1.4,
09/06/24,582.0,-1.0,-0.2,
08/30/24,583.0,-2.0,-0.3,
08/23/24,585.0,-1.0,-0.2,
08/16/24,586.0,-2.0,-0.3,
08/09/24,588.0,2.0,0.3,
08/02/24,586.0,-3.0,-0.5,
07/26/24,589.0,3.0,0.5,
07/19/24,586.0,2.0,0.3,
07/12/24,584.0,-1.0,-0.2,
07/05/24,585.0,4.0,0.7,
06/28/24,581.0,-7.0,-1.2,
06/21/24,588.0,-2.0,-0.3,
06/14/24,590.0,-4.0,-0.7,
06/07/24,594.0,-6.0,-1.0,
05/31/24,600.0,0.0,0.0,
05/24/24,600.0,-4.0,-0.7,
05/17/24,604.0,1.0,0.2,
05/10/24,603.0,-2.0,-0.3,
05/03/24,605.0,-8.0,-1.3,
04/26/24,613.0,-6.0,-1.0,
04/19/24,619.0,2.0,0.3,
04/12/24,617.0,-3.0,-0.5,
04/05/24,620.0,-1.0,-0.2,
03/28/24,621.0,-3.0,-0.5,
03/22/24,624.0,-5.0,-0.8,
