Time,Last,Change,%Chg,Week
06/06/25,432.0,-0.4,-0.1,24
06/06/25,432.4,-3.7,-0.8,23
05/30/25,436.1,-4.3,-1.0,22
05/23/25,440.4,-2.8,-0.6,21
05/16/25,443.2,1.4,0.3,20
05/09/25,441.8,3.4,0.8,19
05/02/25,438.4,-2.0,-0.5,18
04/25/25,440.4,-2.7,-0.6,17
04/18/25,443.1,0.2,0.0,16
04/11/25,442.9,0.6,0.1,15
04/04/25,442.3,2.5,0.6,14
03/28/25,439.8,6.2,1.4,13
03/21/25,433.6,-3.3,-0.8,12
03/14/25,436.9,1.7,0.4,11
03/07/25,435.2,1.4,0.3,10
02/28/25,433.8,3.6,0.8,9
02/21/25,430.2,-2.3,-0.5,8
02/14/25,432.5,4.6,1.1,7
02/07/25,427.9,4.1,1.0,6
01/31/25,423.8,8.7,2.1,5
01/24/25,415.1,3.4,0.8,4
01/17/25,411.7,-1.0,-0.2,3
01/10/25,412.7,-1.9,-0.5,2
01/03/25,414.6,-1.0,-0.2,1
12/27/24,415.6,-1.2,-0.3,52
12/20/24,416.8,-4.2,-1.0,51
12/13/24,421.0,-1.0,-0.2,50
12/06/24,422.0,-1.4,-0.3,49
11/27/24,423.4,-5.0,-1.2,48
11/22/24,428.4,-1.9,-0.4,47
11/15/24,430.3,0.6,0.1,46
11/08/24,429.7,2.0,0.5,45
11/01/24,427.7,2.2,0.5,44
10/25/24,425.5,-0.5,-0.1,43
10/18/24,426.0,5.4,1.3,42
10/11/24,420.6,-2.1,-0.5,41
10/04/24,422.7,5.8,1.4,40
09/27/24,416.9,3.9,0.9,39
09/20/24,413.0,-4.5,-1.1,38
09/13/24,417.5,-1.6,-0.4,37
09/06/24,419.1,0.8,0.2,36
08/30/24,418.3,-6.9,-1.6,35
08/23/24,425.2,-0.8,-0.2,34
08/16/24,426.0,-4.7,-1.1,33
08/09/24,430.7,1.4,0.3,32
08/02/24,429.3,-3.7,-0.9,31
07/26/24,433.0,-3.5,-0.8,30
07/19/24,436.5,-3.7,-0.8,29
07/12/24,440.2,-4.9,-1.1,28
07/05/24,445.1,-3.4,-0.8,27
06/28/24,448.5,-12.2,-2.6,26
06/21/24,460.7,3.6,0.8,25
06/14/24,457.1,-2.6,-0.6,24
06/07/24,459.7,3.8,0.8,23
05/31/24,455.9,1.2,0.3,22
05/24/24,454.7,-4.1,-0.9,21
05/17/24,458.8,1.8,0.4,20
05/10/24,457.0,-2.5,-0.5,19
05/03/24,459.5,-1.4,-0.3,18
04/26/24,460.9,7.3,1.6,17
04/19/24,453.6,-6.4,-1.4,16
04/12/24,460.0,2.7,0.6,15
04/05/24,457.3,5.9,1.3,14
03/28/24,451.4,3.2,0.7,13
03/22/24,448.2,3.2,0.7,12
03/15/24,445.0,-2.0,-0.4,11
03/08/24,447.0,-1.5,-0.3,10
03/01/24,448.5,1.3,0.3,9
02/23/24,447.2,4.2,0.9,8
02/16/24,443.0,3.5,0.8,7
02/09/24,439.5,12.1,2.8,6
02/02/24,427.4,5.5,1.3,5
01/26/24,421.9,1.2,0.3,4
01/19/24,420.7,-9.2,-2.1,3
01/12/24,429.9,-2.5,-0.6,2
01/05/24,432.4,1.3,0.3,1
12/29/23,431.1,-5.5,-1.3,52
12/21/23,436.6,-7.1,-1.6,51
12/15/23,443.7,2.9,0.7,50
12/08/23,440.8,-4.2,-0.9,49
12/01/23,445.0,-4.7,-1.0,48
11/22/23,449.7,1.6,0.4,47
11/17/23,448.1,8.7,2.0,46
11/10/23,439.4,3.6,0.8,45
11/03/23,435.8,13.9,3.3,44
10/27/23,421.9,0.8,0.2,43
10/20/23,421.1,1.4,0.3,42
10/13/23,419.7,-4.5,-1.1,41
10/06/23,424.2,10.1,2.4,40
09/29/23,414.1,-2.2,-0.5,39
09/22/23,416.3,-2.2,-0.5,38
09/15/23,418.5,-2.1,-0.5,37
09/08/23,420.6,4.0,1.0,36
09/01/23,416.6,-6.3,-1.5,35
08/25/23,422.9,-10.6,-2.4,34
08/18/23,433.5,-6.2,-1.4,33
08/11/23,439.7,-5.9,-1.3,32
08/04/23,445.6,5.8,1.3,31
07/28/23,439.8,-17.0,-3.7,30
07/21/23,456.8,-0.6,-0.1,29
07/14/23,457.4,-0.7,-0.2,28
07/07/23,458.1,5.9,1.3,27
06/30/23,452.2,-1.5,-0.3,26
06/23/23,453.7,-9.6,-2.1,25
06/16/23,463.3,-3.8,-0.8,24
06/09/23,467.1,7.9,1.7,23
06/02/23,459.2,-0.5,-0.1,22
05/26/23,459.7,4.5,1.0,21
05/19/23,455.2,-12.4,-2.7,20
05/12/23,467.6,5.0,1.1,19
05/05/23,462.6,3.0,0.7,18
04/28/23,459.6,-1.3,-0.3,17
04/21/23,460.9,-5.1,-1.1,16
04/14/23,466.0,-4.5,-1.0,15
04/06/23,470.5,0.5,0.1,14
03/31/23,470.0,-3.7,-0.8,13
03/24/23,473.7,-7.5,-1.6,12
03/17/23,481.2,1.1,0.2,11
03/10/23,480.1,1.6,0.3,10
03/03/23,478.5,-1.7,-0.4,9
02/24/23,480.2,1.2,0.3,8
02/17/23,479.0,7.6,1.6,7
02/10/23,471.4,16.3,3.6,6
02/03/23,455.1,2.4,0.5,5
01/27/23,452.7,4.2,0.9,4
01/20/23,448.5,0.5,0.1,3
01/13/23,448.0,8.4,1.9,2
01/06/23,439.6,439.6,0.0,1
