Anio,Mes,Last,Change,%Chg,YearChange,Year%Chg
2025,5,886,-5,-0.6,-67,-7
2025,4,891,-8,-0.9,-87,-8.9
2025,3,899,-6,-0.7,-72,-7.4
2025,2,905,0,0,-53,-5.5
2025,1,905,-4,-0.4,-60,-6.2
2024,12,909,-10,-1.1,-46,-4.8
2024,11,919,-31,-3.3,-59,-6
2024,10,950,3,0.3,-12,-1.2
2024,9,947,16,1.7,7,0.7
2024,8,931,-3,-0.3,-21,-2.2
2024,7,934,-23,-2.4,-27,-2.8
2024,6,957,4,0.4,-10,-1
2024,5,953,-25,-2.6,-12,-1.2
2024,4,978,7,0.7,31,3.3
2024,3,971,13,1.4,41,4.4
2024,2,958,-7,-0.7,43,4.7
2024,1,965,10,1,64,7.1
2023,12,955,-23,-2.4,55,6.1
2023,11,978,16,1.7,68,7.5
2023,10,962,22,2.3,51,5.6
2023,9,940,-12,-1.3,61,6.9
2023,8,952,-9,-0.9,92,10.7
2023,7,961,-6,-0.6,128,15.4
2023,6,967,2,0.2,143,17.4
2023,5,965,18,1.9,148,18.1
2023,4,947,17,1.8,141,17.5
2023,3,930,15,1.6,115,14.1
2023,2,915,14,1.6,102,12.5
2023,1,901,1,0.1,60,7.1
2022,12,900,-10,-1.1,0,0
2022,11,910,-1,-0.1,0,0
2022,10,911,32,3.6,0,0
2022,9,879,19,2.2,0,0
2022,8,860,27,3.2,0,0
2022,7,833,9,1.1,0,0
2022,6,824,7,0.9,0,0
2022,5,817,11,1.4,0,0
2022,4,806,-9,-1.1,0,0
2022,3,815,2,0.2,0,0
2022,2,813,-28,-3.3,0,0
2022,1,841,841,0,0,0
