Anio,Mes,Last,Change,%Chg,YearChange,Year%Chg
2025,2,1743,47,2.8,-70,-3.9
2025,1,1696,36,2.2,-87,-4.9
2024,12,1660,-49,-2.8,-79,-4.6
2024,11,1708,-46,-2.6,-86,-4.8
2024,10,1754,4,0.2,-22,-1.3
2024,9,1751,15,0.9,-9,-0.5
2024,8,1735,22,1.3,-53,-3.0
2024,7,1713,7,0.4,-106,-5.8
2024,6,1707,31,1.9,-93,-5.2
2024,5,1675,-51,-2.9,-107,-6.0
2024,4,1726,-67,-3.7,-82,-4.5
2024,3,1793,-20,-1.1,-86,-4.6
2024,2,1813,30,1.7,-109,-5.6
2024,1,1783,44,2.5,-116,-6.1
2023,12,1739,-55,-3.0,-96,-5.2
2023,11,1794,17,1.0,-96,-5.1
2023,10,1776,17,1.0,-116,-6.1
2023,9,1759,-29,-1.6,-92,-5.0
2023,8,1788,-31,-1.7,-37,-2.0
2023,7,1819,19,1.1,43,2.4
2023,6,1799,17,1.0,95,5.6
2023,5,1782,-26,-1.4,154,9.5
2023,4,1808,-71,-3.8,205,12.8
2023,3,1878,-43,-2.2,217,13.1
2023,2,1921,22,1.1,252,15.1
2023,1,1899,64,3.5,267,16.4
2022,12,1835,-55,-2.9,0,0
2022,11,1890,-2,-0.1,0,0
2022,10,1892,40,2.2,0,0
2022,9,1852,27,1.5,0,0
2022,8,1825,49,2.8,0,0
2022,7,1776,72,4.2,0,0
2022,6,1704,76,4.7,0,0
2022,5,1628,26,1.6,0,0
2022,4,1602,-59,-3.5,0,0
2022,3,1661,-8,-0.5,0,0
2022,2,1669,37,2.3,0,0
2022,1,1632,0,0.0,0,0
